LAMMPS '*.data' description 

       288 atoms
       2 atom types
       
    0.0 20.0900      xlo xhi
    0.0 19.7380      ylo yhi
    0.0 13.1420      zlo zhi

Atoms

1 2     10.06910800       1.37968620       9.22305560  
2 2     20.06589200      11.24868620       2.65205560  
3 2     10.06910800       8.48931380       9.22305560  
4 2     20.06589200      18.35831380       2.65205560  
5 2     10.02089200      18.35831380       3.91894440  
6 2      0.02410800       8.48931380      10.48994440  
7 2     10.02089200      11.24868620       3.91894440  
8 2      0.02410800       1.37968620      10.48994440  
9 2      7.78487500       1.46653340      10.52411360  
10 2      2.26012500      11.33553340       3.95311360  
11 2      7.78487500       8.40246660      10.52411360  
12 2      2.26012500      18.27146660       3.95311360  
13 2     12.30512500      18.27146660       2.61788640  
14 2     17.82987500       8.40246660       9.18888640  
15 2     12.30512500      11.33553340       2.61788640  
16 2     17.82987500       1.46653340       9.18888640  
17 2      8.02595500       2.69621080       8.21506420  
18 2      2.01904500      12.56521080       1.64406420  
19 2      8.02595500       7.17278920       8.21506420  
20 2      2.01904500      17.04178920       1.64406420  
21 2     12.06404500      17.04178920       4.92693580  
22 2     18.07095500       7.17278920      11.49793580  
23 2     12.06404500      12.56521080       4.92693580  
24 2     18.07095500       2.69621080      11.49793580  
25 2      7.97974800       0.06710920       8.31362920  
26 2      2.06525200       9.93610920       1.74262920  
27 2      7.97974800       9.80189080       8.31362920  
28 2      2.06525200      19.67089080       1.74262920  
29 2     12.11025200      19.67089080       4.82837080  
30 2     18.02474800       9.80189080      11.39937080  
31 2     12.11025200       9.93610920       4.82837080  
32 2     18.02474800       0.06710920      11.39937080  
33 2      6.60961000       0.75991300      12.77665240  
34 2      3.43539000      10.62891300       6.20565240  
35 2      6.60961000       9.10908700      12.77665240  
36 2      3.43539000      18.97808700       6.20565240  
37 2     13.48039000      18.97808700       0.36534760  
38 2     16.65461000       9.10908700       6.93634760  
39 2     13.48039000      10.62891300       0.36534760  
40 2     16.65461000       0.75991300       6.93634760  
41 2      6.62367300      18.85965900      10.71730100  
42 2      3.42132700       8.99065900       4.14630100  
43 2      6.62367300      10.74734100      10.71730100  
44 2      3.42132700       0.87834100       4.14630100  
45 2     13.46632700       0.87834100       2.42469900  
46 2     16.66867300      10.74734100       8.99569900  
47 2     13.46632700       8.99065900       2.42469900  
48 2     16.66867300      18.85965900       8.99569900  
49 2      5.16513900       1.30862940      10.65290520  
50 2      4.87986100      11.17762940       4.08190520  
51 2      5.16513900       8.56037060      10.65290520  
52 2      4.87986100      18.42937060       4.08190520  
53 2     14.92486100      18.42937060       2.48909480  
54 2     15.21013900       8.56037060       9.06009480  
55 2     14.92486100      11.17762940       2.48909480  
56 2     15.21013900       1.30862940       9.06009480  
57 2      5.84619000       2.55804480       1.39305200  
58 2      4.19881000      12.42704480       7.96405200  
59 2      5.84619000       7.31095520       1.39305200  
60 2      4.19881000      17.17995520       7.96405200  
61 2     14.24381000      17.17995520      11.74894800  
62 2     15.89119000       7.31095520       5.17794800  
63 2     14.24381000      12.42704480      11.74894800  
64 2     15.89119000       2.55804480       5.17794800  
65 2      4.08630600       0.89807900       0.36140500  
66 2      5.95869400      10.76707900       6.93240500  
67 2      4.08630600       8.97092100       0.36140500  
68 2      5.95869400      18.83992100       6.93240500  
69 2     16.00369400      18.83992100      12.78059500  
70 2     14.13130600       8.97092100       6.20959500  
71 2     16.00369400      10.76707900      12.78059500  
72 2     14.13130600       0.89807900       6.20959500  
73 2      5.89842400       0.01973800       2.05540880  
