LAMMPS data file via write_data, version 4 May 2017, timestep = 270000126

9536 atoms
2 atom types

-3.9628432000000004e+01 3.9628431999999989e+01 xlo xhi
-8.7566432000000006e+01 3.3091431999999998e+01 ylo yhi
-3.3091431999999998e+01 8.7566432000000006e+01 zlo zhi

Masses

1 28.0855
2 12.0107

Atoms # atomic

2392 1 -1.2627381386735750e+00 -2.2650494481540225e+01 -3.7433624689884306e+00 0 0 0
7235 2 -2.7961663221746584e+00 -2.2089041657985248e+01 -4.6290124099089844e+00 0 0 0
6562 1 -1.5888958269298716e+00 -2.0788611283078367e+01 -5.2428561141731134e+00 0 0 0
5833 2 8.8207530871958935e-03 -2.1473043545075072e+01 -4.4344788345667023e+00 0 0 0
8496 2 3.1727356313898349e+00 -2.0185332605501799e+01 -3.4190795990178673e+00 0 0 0
2220 1 1.4239772902216050e+00 -2.1120221360950271e+01 -3.2592635515546471e+00 0 0 0
6628 2 9.8261061260722329e+00 -2.2282541005771435e+01 -2.8173128030566450e+00 0 0 0
1868 2 -1.8061258893890699e+00 -1.9012609929526036e+01 -4.7666604873108165e+00 0 0 0
1230 1 -8.0447002756548280e-01 -1.9232398598817788e+01 -3.2388102126297786e+00 0 0 0
1623 2 -3.9710125018041191e+00 -1.6931886689778732e+01 -4.6762160965591448e+00 0 0 0
8761 1 -2.1441146761382814e+00 -1.7193482190432757e+01 -4.9281559515382050e+00 0 0 0
9394 2 -1.0230323791153806e+00 -1.6070701966022593e+01 -3.8601235569682921e+00 0 0 0
5485 1 3.4092860226749719e+00 -1.8501852818868326e+01 -4.2627937704739987e+00 0 0 0
8113 2 8.9264153658960743e-01 -1.8426296709503738e+01 -3.4972555211490759e+00 0 0 0
897 1 5.9746976467589286e-01 -1.5181330285863048e+01 -4.3171289297613713e+00 0 0 0
373 2 4.6992127956124818e+00 -1.7232645379540191e+01 -3.7120552458342155e+00 0 0 0
1166 2 7.2477053040347661e+00 -1.8858978384633357e+01 -3.3897894639189765e+00 0 0 0
